Fair Market Rent,Price,County,State
590,590,Massac County, IL
567,567,Montgomery County, IL
547,547,Morgan County, IL
566,566,Moultrie County, IL
606,606,Ogle County, IL
614,614,Pope County, IL
614,614,Pulaski County, IL
570,570,Whiteside County, IL
590,590,Richland County, IL
531,531,Saline County, IL
533,533,Union County, IL
550,550,Wabash County, IL
567,567,Warren County, IL
577,577,Washington County, IL
589,589,Perry County, IL
531,531,Pike County, IL
558,558,Hancock County, IL
531,531,Hardin County, IL
578,578,Jo Daviess County, IL
531,531,Johnson County, IL
531,531,Knox County, IL
605,605,La Salle County, IL
531,531,Lawrence County, IL
556,556,Lee County, IL
570,570,Livingston County, IL
531,531,Cumberland County, IL
559,559,Douglas County, IL
569,569,Fulton County, IL
614,614,Gallatin County, IL
696,696,Brown County, IL
550,550,Clark County, IL
582,582,Clay County, IL
613,613,Edgar County, IL
614,614,Edwards County, IL
541,541,Effingham County, IL
568,568,Fayette County, IL
608,608,Henderson County, IL
531,531,Iroquois County, IL
607,607,Jasper County, IL
582,582,Jefferson County, IL
572,572,Greene County, IL
598,598,Hamilton County, IL
561,561,Bureau County, IL
531,531,Carroll County, IL
550,550,Cass County, IL
554,554,Coles County, IL
533,533,Franklin County, IL
605,605,Adams County, IL
579,579,Christian County, IL
560,560,Crawford County, IL
531,531,Wayne County, IL
583,583,White County, IL
549,549,Putnam County, IL
543,543,Randolph County, IL
531,531,Schuyler County, IL
531,531,Scott County, IL
608,608,Shelby County, IL
547,547,Stephenson County, IL
682,682,Bloomington, IL  HUD Metro FMR Area
557,557,De Witt County, IL HUD Metro FMR Area
1122,1122,Chicago-Joliet-Naperville, IL HUD Metro FMR Area
805,805,DeKalb County, IL HUD Metro FMR Area
893,893,Grundy County, IL HUD Metro FMR Area
974,974,Kendall County, IL HUD Metro FMR Area
580,580,Jackson County, IL HUD Metro FMR Area
578,578,Williamson County, IL HUD Metro FMR Area
585,585,Bond County, IL HUD Metro FMR Area
539,539,Macoupin County, IL HUD Metro FMR Area
739,739,Champaign-Urbana, IL MSA
598,598,Danville, IL MSA
614,614,Decatur, IL MSA
717,717,Kankakee, IL MSA
606,606,Rockford, IL MSA
675,675,Peoria, IL MSA
684,684,Springfield, IL MSA
566,566,Fountain County, IN
574,574,Franklin County, IN
626,626,Fulton County, IN
611,611,Gibson County, IN
598,598,Grant County, IN
567,567,Greene County, IN
595,595,Henry County, IN
604,604,Huntington County, IN
614,614,Jackson County, IN
555,555,Jay County, IN
572,572,Jennings County, IN
591,591,Knox County, IN
657,657,Kosciusko County, IN
564,564,LaGrange County, IN
584,584,Lawrence County, IN
607,607,Marshall County, IN
565,565,Martin County, IN
622,622,Miami County, IN
560,560,Switzerland County, IN
646,646,Tipton County, IN
565,565,Wabash County, IN
555,555,Warren County, IN
560,560,Adams County, IN
611,611,Blackford County, IN
582,582,Cass County, IN
593,593,Clinton County, IN
572,572,DeKalb County, IN
566,566,Dubois County, IN
562,562,Fayette County, IN
584,584,Montgomery County, IN
605,605,Noble County, IN
563,563,Orange County, IN
588,588,Parke County, IN
555,555,Perry County, IN
613,613,Jefferson County, IN
557,557,Randolph County, IN
576,576,Ripley County, IN
555,555,Wayne County, IN
571,571,White County, IN
555,555,Crawford County, IN
575,575,Daviess County, IN
649,649,Decatur County, IN
560,560,Rush County, IN
555,555,Spencer County, IN
562,562,Starke County, IN
621,621,Steuben County, IN
630,630,Pike County, IN
595,595,Pulaski County, IN
571,571,Union County, IN HUD Metro FMR Area
748,748,Bloomington, IN HUD Metro FMR Area
581,581,Owen County, IN HUD Metro FMR Area
749,749,Gary, IN HUD Metro FMR Area
685,685,Jasper County, IN HUD Metro FMR Area
555,555,Washington County, IN HUD Metro FMR Area
619,619,Anderson, IN HUD Metro FMR Area
781,781,Indianapolis-Carmel, IN HUD Metro FMR Area
590,590,Putnam County, IN HUD Metro FMR Area
645,645,Scott County, IN HUD Metro FMR Area
753,753,Lafayette-West Lafayette, IN HUD Metro FMR Area
555,555,Carroll County, IN HUD Metro FMR Area
